,Unnamed: 0,X,Longitude,Latitude,Xadj,Yadj,dist,bp,C14Age,C14SD,calCurves,resOffsets,resErrors,clusterID,optional,sim_dates,model
8,9,12,-55.91,-27.31,-55.91,-27.31,1917.96287452585,1770,1880,170,shcal20,0,0,12,True,1520,forest
9,10,13,-37.9295,-12.4038,-37.9295,-12.4038,2623.76621814795,1771,1880,60,shcal20,0,0,13,True,0,forest
10,11,14,-49.6,-23.583,-49.6,-23.583,1915.73543129561,1757,1870,100,shcal20,0,0,14,True,980,forest
11,12,15,-57.004,-27.689,-57.004,-27.689,1923.46252170037,1747,1860,50,shcal20,0,0,15,True,0,forest
12,13,16,-49.9235,-4.4351,-49.9235,-4.4351,1510.13099169882,1709,1830,30,shcal20,0,0,16,True,3080,forest
13,14,17,-55.0456,-16.3861,-55.0456,-16.3861,958.940629277375,1679,1810,60,shcal20,0,0,17,True,0,forest
14,15,18,-53.555,-29.659,-53.555,-29.659,2246.83054262265,1674,1800,100,shcal20,0,0,18,True,1160,forest
15,16,19,-42.4667,-8.7974,-42.4667,-8.7974,2150.59554536,1550,1690,110,shcal20,0,0,19,True,0,forest
16,17,20,-63.85,-20.41,-63.85,-20.41,1065.62160243226,1535,1680,90,shcal20,0,0,20,True,0,forest
17,18,21,-64.43,-19.62,-64.43,-19.62,994.746243152392,1528,1675,80,shcal20,0,0,21,True,2990,forest
18,19,24,-43.5789,-23.0206,-43.5789,-23.0206,2364.82903294292,1521,1650,170,shcal20,0,0,24,True,830,forest
19,20,26,-53.73,-27.17,-53.73,-27.17,1991.12227368352,1430,1570,100,shcal20,0,0,26,True,1520,forest
20,21,29,-39.0235,-7.3569,-39.0235,-7.3569,2551.03730556183,1373,1530,50,shcal20,0,0,29,True,0,forest
21,22,31,-52.2897,-23.5848,-52.2897,-23.5848,1733.39237176375,1341,1490,45,shcal20,0,0,31,True,1730,forest
22,23,39,-56.9055,-5.1735,-56.9055,-5.1735,847.784094755736,1131,1270,30,shcal20,0,0,39,True,3950,forest
23,24,46,-45.1,-2.63,-45.1,-2.63,2076.91326136206,1102,1230,30,shcal20,0,0,46,True,2390,forest
24,25,48,-55.05,-27.817,-55.05,-27.817,2001.33829806802,1090,1220,120,shcal20,0,0,48,True,1460,forest
25,26,49,-64.7167,-8.8863,-64.7167,-8.8863,379.400242263173,1087,1220,40,shcal20,0,0,49,True,4670,forest
26,27,52,-59.5,-8.56,-59.5,-8.56,378.017456212679,1075,1210,60,shcal20,0,0,52,True,4520,forest
27,28,57,-36.81,-6.13,-36.81,-6.13,2818.16699619294,1017,1150,65,shcal20,0,0,57,True,0,forest
28,29,58,-51.05,-22.767,-51.05,-22.767,1747.3490337669,1002,1130,150,shcal20,0,0,58,True,1700,forest
29,30,60,-49.9045,-6.5119,-49.9045,-6.5119,1414.0154625963,981,1120,40,shcal20,0,0,60,True,2990,forest
30,31,64,-50.083,-29.767,-50.083,-29.267,2419.59570840114,932,1070,110,shcal20,0,0,64,True,1070,forest
31,32,67,-40.84,-20.98,-41.34,-20.98,2514.03118348567,909,1055,80,shcal20,0,0,67,True,0,forest
32,33,69,-58.425,-33.426,-58.425,-33.426,2514.436810223,884,1020,130,shcal20,0,0,69,True,0,forest
33,34,72,-48.0,-10.78,-48.0,-10.78,1526.03402801296,862,1015,60,shcal20,0,0,72,True,0,forest
34,35,74,-52.5624,-3.7858,-52.5624,-3.7858,1305.04462378088,855,1000,30,shcal20,0,0,74,True,0,forest
35,36,75,-48.7254,-1.539,-48.7254,-1.539,1795.41034759707,849,980,40,shcal20,0,0,75,True,2750,forest
36,37,77,-56.2823,-20.5678,-56.2823,-20.5678,1224.78462658079,839,970,60,shcal20,0,0,77,True,0,forest
37,38,85,-51.75,-27.498,-51.75,-27.498,2119.93152429313,765,900,50,shcal20,0,0,85,True,1400,forest
38,39,86,-55.66,-19.83,-55.66,-19.83,1191.69544317385,757,890,50,shcal20,0,0,86,True,0,forest
39,40,87,-52.222,-31.847,-52.722,-31.847,2520.624566856,753,890,40,shcal20,0,0,87,True,920,forest
40,41,90,-38.7122,-8.9019,-38.7122,-8.9019,2558.56916361598,717,810,150,shcal20,0,0,89,True,0,forest
41,42,94,-48.77,-28.43,-49.27,-28.43,2373.31671733336,692,795,95,shcal20,0,0,94,True,1130,forest
42,43,96,-52.89,-14.52,-52.89,-14.52,1060.49327576763,678,780,90,shcal20,0,0,96,True,0,forest
43,44,98,-44.24,-15.14,-44.24,-15.14,1975.80178710619,669,770,40,shcal20,0,0,98,True,0,forest
44,45,101,-54.2534,-24.0765,-54.2534,-24.0765,1665.598912989,661,760,40,shcal20,0,0,101,True,980,forest
45,46,104,-46.04,-20.97,-46.04,-20.97,2030.05366082134,645,720,150,shcal20,0,0,104,True,0,forest
46,47,109,-38.23,-11.32,-38.23,-11.32,2591.50344323561,615,680,130,shcal20,0,0,109,True,0,forest
47,48,112,-45.076,-23.4448,-45.576,-23.4448,2261.98717480951,602,660,80,shcal20,0,0,112,True,1010,forest
48,49,113,-42.1582,-20.7346,-42.1582,-20.7346,2377.37334580037,604,650,40,shcal20,0,0,113,True,710,forest
49,50,117,-45.3701,-4.2532,-45.3701,-4.2532,1973.63302056153,592,630,80,shcal20,0,0,117,True,2390,forest
50,51,121,-52.0,-16.0,-52.0,-16.0,1213.56813124127,591,620,55,shcal20,0,0,121,True,0,forest
51,52,122,-51.1632,-30.2653,-51.6632,-30.2653,2412.30697743599,570,610,50,shcal20,0,0,122,True,0,forest
52,53,123,-55.3896,-21.7743,-55.3896,-21.7743,1387.03001315563,570,610,50,shcal20,0,0,123,True,2000,forest
53,54,131,-58.082,-28.319,-58.082,-28.319,1964.28051396111,545,580,50,shcal20,0,0,131,True,0,forest
54,55,137,-52.1195,-29.2885,-52.1195,-29.2885,2272.62081979281,533,560,40,shcal20,0,0,137,True,1160,forest
55,56,140,-41.25,-13.7625,-41.25,-13.7625,2272.54761131132,529,550,95,shcal20,0,0,140,True,0,forest
56,57,147,-52.8533,-22.6119,-52.8533,-22.6119,1612.99144402476,521,530,55,shcal20,0,0,147,True,1940,forest
57,58,150,-49.3842,-25.4756,-49.3842,-25.4756,2082.89294045088,518,528,70,shcal20,0,0,150,True,1370,forest
